职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
市场营销专员,蔻诗曼嘉化妆品（中国）有限公司,7千-1万,杭州·萧山区,本科,无需经验,"营销
销售
韩语
市场拓展
五险一金
绩效奖金
餐饮补贴
通讯补贴
交通补贴
定期体检",制药/生物工程,,,外资（非欧美）  |  500-1000人,,,,,
营销支持,长沙金域医学检验实验室有限公司,6千-1万,长沙·岳麓区,本科,1年,"营销
营销支持
招投标
五险一金
餐饮补贴
专业培训
定期体检
员工旅游",医疗/护理/卫生,,,已上市  |  500-1000人,,,,,
营销总监（文旅合院别墅）,湖北润渤房地产开发有限公司,1.5-2万,咸宁,大专,5-7年,,房地产,,,民营  |  少于50人,,,,,
省区营销(甘肃、山西、陕西、宁夏、青海、新疆）,广州精益汽车空调有限公司,6-8千,广州,大专,2年,"定期体检
专业培训
补充医疗保险
免费班车
销售",机械/设备/重工,,,民营  |  500-1000人,,,,,
高薪市场营销（22/23届毕业生+供住宿+晋升）,昆明轻奢智能科技有限公司,6千-1.1万,昆明,初中及以下,无需经验,"阿里巴巴
包住宿
绩效奖金
交通补贴
餐饮补贴
通讯补贴
全勤奖
专业培训
弹性工作
员工旅游",计算机服务(系统、数据服务、维修),,,民营  |  500-1000人,,,,,
营销总经理,倍福德新型建材（江苏）有限公司,30-60万/年,南京·鼓楼区,大专,5-7年,"营销团队组建
客户资源
五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",建筑/建材/工程,,,合资  |  少于50人,,,,,
大客户营销专员,重庆华贸国际物流有限公司,1.2-1.6万,重庆,大专,3-4年,"五险一金
空运客服",交通/运输/物流,,,国企  |  少于50人,,,,,
高级营销讲师,深圳市宝安任达电器实业有限公司,1.2-2万,深圳·宝安区,大专,5-7年,"五险一金
专业培训
五天8小时
定期体检",机械/设备/重工,,,民营  |  1000-5000人,,,,,
营销结算统计员,福州泰普医学检验所有限公司,4-6千,福州,大专,2年,"会计
五险一金
员工旅游
绩效奖金
年终奖金
高温补贴
节日福利
带薪年假
做五休二",医疗设备/器械,,,民营  |  50-150人,,,,,
营销副总,云南省久泰药业有限公司临沧分公司,1.5-3万,临沧,大专,5-7年,"五险一金
职称补贴
工龄工资
生日福利
节日福利
员工宿舍",制药/生物工程,,,民营  |  50-150人,,,,,
客户合作营销-华中大区,博西家用电器（中国）有限公司,1-1.3万,武汉·硚口区,本科,2年,"五险一金
员工旅游
定期体检
年终奖金
补充医疗保险",家具/家电/玩具/礼品,,,外资（欧美）  |  1000-5000人,,,,,
家居装饰营销总监,广东中旗新材料股份有限公司,30-40万/年,佛山·禅城区,本科,5-7年,"五险一金
绩效奖金
节日福利
晋升机会大",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
市场营销工程师,苏州铭硕精密机械有限公司,8千-1.2万,苏州·相城区,大专,2年,"带薪年假
五险一金
包吃
包住宿
绩效奖金
全勤奖
年终奖金
节日福利
专业培训",机械/设备/重工,,,民营  |  150-500人,,,,,
国际营销经理,湖北枫树线业有限公司,1.5-2万,武汉·东湖新技术产业开发区,本科,5-7年,"工业品
外贸
制造
B2B
国际贸易
国际营销
海外市场
五险一金
年终奖金
双休
专业培训",服装/纺织/皮革,,,民营  |  1000-5000人,,,,,
电商营销经理-[197708],花王（中国）,35-40万/年,上海·静安区,本科,5-7年,"数字营销
电商平台
营销方案
资源配置
日化
母婴
美妆
商品规划
五险一金
补充公积金
交通补贴
餐饮补贴
年终奖金
定期体检
带薪年假
商业医疗保险",快速消费品(食品、饮料、化妆品),,,外资（非欧美）  |  500-1000人,,,,,
微信营销,深圳市恒通兴科技有限公司,5千-1万,深圳·宝安区,大专,1年,"五险一金
员工旅游
专业培训
绩效奖金
补充医疗保险
包吃包住
微信销售
销售
网络销售
客服
销售代表
电子商务",原材料和加工,,,民营  |  50-150人,,,,,
市场营销专员,广东浩洋速冻食品有限公司,5-8千,阳江,大专,1年,"广告
市场
推广
活动
策划
消费者
全勤奖
包住宿
绩效奖金
节日福利
工龄奖
买社保
年度旅游
包午餐晚餐",快速消费品(食品、饮料、化妆品),,,合资  |  150-500人,,,,,
营销策划专员,湖北枫树线业有限公司,5-8千,武汉·东湖新技术产业开发区,本科,2年,"文章撰写
图文设计软件
营销活动执行
营销策划
五险一金
双休
年终奖金",服装/纺织/皮革,,,民营  |  1000-5000人,,,,,
营销高储7.2K底薪 +津贴1.5K,深圳市乐有家控股集团有限公司,6-9千,广州·越秀区,大专,无需经验,"五险一金
年终奖金
绩效奖金
弹性工作
带薪年假
团队活动
餐饮补贴
专业培训
客户沟通
房产经纪买卖
择业建议
现场培训
专业讲解
商务谈判
环境介绍",房地产,,,民营  |  10000人以上,,,,,
营销专员/销售专员/电话销售,江苏居上家居有限公司,1-2万,苏州,大专,1年,"五险一金
不定期激励
业绩提成
基本工资
定期体检
员工旅游
节日福利
专业培训
销售专员
电销专员
软装顾问
营销专员
销售代表
客户代表",家居/室内设计/装潢,,,民营  |  少于50人,,,,,
营销经理,龙湖集团地产,2-3万·13薪,广州·天河区,本科,3-4年,"大平台
发展空间
五险
绩效奖金",房地产,,,民营  |  10000人以上,,,,,
新媒体运营/营销推广,西安市文天阁典当行有限公司,6-8千·13薪,西安·雁塔区,大专,2年,"新媒体
运营策略
营销推广
营销
媒体资源
新媒体行业
宣传品牌
推广",信托/担保/拍卖/典当,,,民营  |  少于50人,,,,,
营销主管,湖南天华油茶科技股份有限公司,5-8千,长沙,大专,1年,"销售渠道
营销推广
经销商
会员营销
培训
驾照
社区团购
五险
周末双休
带薪年假
年终奖金
员工旅游
补充公积金
专业培训
绩效奖金",农/林/牧/渔,,,民营  |  50-150人,,,,,
营销客服,深圳市福养堂健康科技有限公司,4-8千,广州·越秀区,大专,1年,"专业培训
通讯补贴
交通补贴
绩效奖金
年终奖金
五险
客服
客服专员
销售
咨询",医疗/护理/卫生,,,民营  |  50-150人,,,,,
市场营销助理,中电变压器股份有限公司,6-8千,南京,本科,3-4年,"营销管理
市场营销
业务培训
五险一金
专业培训
优秀奖金
节日福利
餐饮补贴",机械/设备/重工,,,民营  ,,,,,
网络营销经理,四川滨大阀门有限责任公司,4-6千·13薪,成都·金牛区,大专,3-4年,,机械/设备/重工,,,民营  |  50-150人,,,,,
财务BP（营销线）,云鲸智能（深圳）有限公司,2-3.5万·15薪,深圳,本科,5-7年,"流程优化
财会
统计
财务bp
五险一金
定期体检
年终奖金
机器人独角兽
发展空间大",电子技术/半导体/集成电路,,,民营  |  1000-5000人,,,,,
中粮油脂-营销公司-市场稽查主管,中粮福临门食品营销有限公司,8千-1万,北京·朝阳区,本科,3-4年,"餐饮补贴
五险一金
补充医疗保险
交通补贴
通讯补贴
定期体检
补充养老保险",快速消费品(食品、饮料、化妆品),,,国企  |  1000-5000人,,,,,
营销策划总监,深圳市晟瑞科技有限公司,1.5-3万,深圳·南山区,本科,5-7年,"市场营销
营销策划
营销方案
广告推广
活动方案
五险一金
员工旅游
定期体检
带薪年假
绩效奖金
节日福利
专业培训
年终奖金
包吃住",电子技术/半导体/集成电路,,,民营  |  150-500人,,,,,
营销策划推广,广东鸿玥健康管理有限公司,7-8千,广州·天河区,大专,2年,"带薪年假
五险一金
包吃
包住宿
节日福利
餐饮补贴
全勤奖
专业培训",生活服务,,,民营  |  50-150人,,,,,
深圳营销中心负责人（高端食用油）,江西省德义行油茶开发有限公司,1.5-3万,深圳·龙岗区,本科,10年以上,"销售总监
区域销售总监
销售总经理
销售负责人
五险一金
定期体检
餐饮补贴
年终奖金
绩效奖金
员工旅游",快速消费品(食品、饮料、化妆品),,,民营  |  50-150人,,,,,
市场营销一对一带+包住,长沙市大勤优仕环保科技有限公司,6千-1万,长沙·芙蓉区,,无需经验,"快消品
日用品
销售
业务员
市场营销
市场专员
出差专员
储备干部
实习生
环保
五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
弹性工作
高温补贴
团队氛围好
公平晋升",环保,,,民营  |  50-150人,,,,,
市场/营销业务/拓展主管/ 销售业务,佛山市益宏焊接有限公司,0.8-1万,佛山·南海区,大专,3-4年,,采掘业/冶炼,,,民营  |  150-500人,,,,,
南京诚聘营销储干/氛围好/导师带教,深圳市乐有家控股集团有限公司,4.5-7千,南京·江宁区,大专,无需经验,"五险一金
员工旅游
专业培训
绩效奖金
导师带教
提供住宿
节日福利
大学生团队
氛围好
培训
客户沟通
房源资源
盘源
现场培训
房地产营销",房地产,,,民营  |  10000人以上,,,,,
区域营销经理,江西汇发鉴证咨询有限公司,4-8千,上饶,,3-4年,"员工旅游
通讯补贴
专业培训
弹性工作
员工食堂",专业服务(咨询、人力资源、财会),,,民营  |  50-150人,,,,,
网络营销顾问（奥迪）,武汉恒信奥龙汽车销售服务有限公司,8千-1万,武汉·洪山区,大专,1年,"专业培训
节日福利
生日福利
工作餐
缴纳社保
汽车
销售
网络
营销",汽车,,,民营  |  50-150人,,,,,
产品营销专员,固力保安全系统（中国）有限公司,1.5-1.6万·13薪,上海·黄浦区,本科,3-4年,"带薪年假
节日福利
五险一金
定期体检
餐饮补贴
交通补贴",原材料和加工,,,外资（欧美）  |  50-150人,,,,,
网络营销双休不加班,武汉联和康生物科技有限公司,5千-1万·13薪,武汉·硚口区,大专,无需经验,"周末双休
带薪年假
五险一金
包住宿
专业培训
销售
网络销售
网络运营",贸易/进出口,,,民营  |  50-150人,,,,,
整合营销项目经理,浙江柚香谷投资管理股份有限公司,1.5-2万,杭州·拱墅区,本科,3-4年,"市场推广方案
市场营销管理
媒体运作
市场预算",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
整合营销策划专员(J11197),上海新高姿化妆品有限公司,7千-1万,上海·徐汇区,本科,1年,"五险一金
餐饮补贴
通讯补贴
交通补贴",快速消费品(食品、饮料、化妆品),,,民营  |  500-1000人,,,,,
市场营销专员,扬州扬瑞智能科技有限公司,5千-1万,扬州·邗江区,大专,2年,"绩效奖金
年终奖金
通讯补贴
专业培训
交通补贴
出国机会
定期体检
五险一金
营销经理
销售
市场
营销
拓展经理
业务员
销售代表",贸易/进出口,,,民营  |  少于50人,,,,,
网络营销 五险双休不加班,武汉联和康生物科技有限公司,5千-1万·13薪,武汉·硚口区,大专,无需经验,"周末双休
带薪年假
五险一金
包住宿
专业培训
网络销售
电子商务
销售
运营",贸易/进出口,,,民营  |  50-150人,,,,,
新能源营销总监,上海冠松汽车发展有限公司,45-60万/年,上海,本科,3-4年,"经销商
汽车
新能源
带薪年假
节日福利
餐饮补贴
通讯补贴
五险一金
绩效奖金
专业培训",汽车,,,合资  |  1000-5000人,,,,,
数字化营销经理-公域,西藏奇正藏药股份有限公司,18-35万/年,广州·天河区,本科,2年,"品牌传播规划
推广品牌
新媒体传播
品牌传播
品牌营销
交通补贴
绩效奖金
带薪年假
通讯补贴
节日福利
高温补贴
五险一金
专业培训",制药/生物工程,,,已上市  |  1000-5000人,,,,,
营销专员（京唐省区）,中储南京智慧物流科技有限公司,5-8千,张家口,大专,3-4年,"物流
发掘潜在客户
冶金
水泥
业务洽谈
市场营销
周末双休
带薪年假
五险一金
绩效奖金
节日福利
餐饮补贴
高温补贴
专业培训
定期体检
年终奖金",互联网/电子商务,,,国企  |  1000-5000人,,,,,
数字化营销专员/ Digital Marketing Specialist,伏能士智能设备（上海）有限公司,8千-1.2万,上海·宝山区,本科,1年,"五险一金
补充医疗保险
餐饮补贴
通讯补贴
专业培训
年终奖金
定期体检
弹性工作
免费班车",机械/设备/重工,,,外资（欧美）  |  50-150人,,,,,
营销运维工程师,杭州爱唯服饰有限公司,1-1.8万·13薪,杭州·拱墅区,大专,3-4年,"五险一金
餐饮补贴
免费班车",服装/纺织/皮革,,,民营  |  1000-5000人,,,,,
营销经理-医疗产品销售-驻外经理,青岛中惠圣熙生物工程有限公司,7.5千-1.2万,青岛·李沧区,大专,无需经验,"医疗
销售
电话销售
项目经理
渠道销售
销售代表
五险一金
工作餐
绩效奖金
包吃
包三餐
包住宿",制药/生物工程,,,民营  |  50-150人,,,,,
营销总监,北川九皇山生态旅游股份有限公司,1.5-3万,成都·锦江区,大专,3-4年,"弹性工作
带薪年假
专业培训
绩效奖金
通讯补贴
亲属旅游
五险一金",酒店/旅游,,,民营  |  150-500人,,,,,
营销代表,广东百捷教育投资有限公司,5-6千,广州·白云区,大专,3-4年,"周末双休
专业培训
生日补贴
节日福利
绩效奖金
社保
五险一金
交通补贴
餐饮补贴",教育/培训/院校,,,民营  |  150-500人,,,,,
物流营销经理,中建国信工程建设集团有限公司,3-6千,襄阳·樊城区,大专,2年,"物流行业
业务宣传
项目开发
商务谈判
业务拓展
商务应酬
五险一金
年终奖金
专业培训
弹性工作
双休",建筑/建材/工程,,,民营  |  150-500人,,,,,
营销总监,上海星屋网络科技有限公司,8千-1.5万,上海·闵行区,大专,5-7年,"五险一金
节日福利
餐饮补贴
包住宿
绩效奖金
弹性工作
专业培训
免费班车",通信/电信/网络设备,,,民营  |  少于50人,,,,,
市场营销专员,郑州市倾程众联网络科技有限公司,0.8-1万,南阳,,无需经验,"销售代表
市场专员
客户经理
弹性工作
五险一金
绩效奖金
交通补贴
节日福利",计算机软件,,,民营  |  少于50人,,,,,
营销经理,三一汽车起重机械有限公司,1-1.6万·13薪,长沙·宁乡市,大专,3-4年,"销售
机械
市场营销
市场调研
客户关系维护
销售合同谈判
商务谈判
五险一金
免费班车
餐饮补贴
交通补贴
股票期权
专业培训
出国机会
年终奖金",机械/设备/重工,,,民营  |  少于50人,,,,,
营销讲师（金融行业经验优先）,深圳前海移联科技有限公司,1-1.5万,深圳·南山区,大专,3-4年,"ppt
培训
主持
培训课程
销售
培训管理
演讲
金融行业
现代培训工具
培训管理体系
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
生日会
下午茶
团建活动
周末双休",互联网/电子商务,,,民营  |  150-500人,,,,,
