职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源经理,6-8千,昆明·官渡区,3-4年,本科,"五险一金
员工旅游
绩效奖金
领导nice
氛围融洽
年终奖金",云南维基科技有限公司,民营  |  少于50人,计算机服务(系统、数据服务、维修),二线,6000-8000,6000,8000,少于50人,民营,7000,四级
人力资源经理,8千-1.3万,深圳·南山区,3-4年,本科,"招聘
培训
员工关系
人才发展
薪酬绩效
hrbp
五险一金
补充医疗保险
补充公积金
年终奖金
绩效奖金
弹性工作
交通补贴
通讯补贴",深圳市宝华盛基金管理有限公司,民营  |  少于50人,金融/投资/证券,一线,8000-13000,8000,13000,少于50人,民营,10500,三级
人力资源副部长,8千-1.2万,成都·龙泉驿区,8-9年,本科,"人力资源规划
绩效管理体系
薪酬管理体系
岗位设置
招聘计划
组织架构优化
餐饮补贴",四川洲佳供应链管理有限公司,民营  ,贸易/进出口,新一线,8000-12000,8000,12000,,民营,10000,三级
人力资源专员,6-7千,杭州·余杭区,1年,大专,"招聘
人事
合同管理
五险一金
通讯补贴
节日补贴
高温补贴
年终奖金
绩效奖金
定期体检
餐饮补贴",杭州宇旸供应链管理有限公司,民营  |  少于50人,批发/零售,新一线,6000-7000,6000,7000,少于50人,民营,6500,四级
人力资源主管,7-9千,广州·天河区,3-4年,本科,"培训
招聘
人力资源管理
招聘计划
hrbp
培训方案
人才梯队搭建
培训管理体系
扁平化管理
五险一金
弹性工作
周末双休
带薪年假
年终奖金",广东九州国际会展传媒科技有限公司,民营  |  150-500人,公关/市场推广/会展,一线,7000-9000,7000,9000,150-500人,民营,8000,四级
人力资源部招聘管理岗,1-1.5万,上海·浦东新区,2年,硕士,"人力资源
招聘
五险一金
企业年金
补充医疗保险
交通补贴
通讯补贴
绩效奖金
年终奖金
专业培训",江海证券有限公司,国企  |  1000-5000人,金融/投资/证券,一线,10000-15000,10000,15000,1000-5000人,国企,12500,二级
人力资源主管（COE）,1.2-1.8万,深圳·南山区,5-7年,本科,"hrbp
招聘
员工关系
薪酬绩效
考勤
人才发展
培训
COE
五险一金
员工旅游",聚能永拓（珠海）科技开发有限公司,合资  |  150-500人,新能源,一线,12000-18000,12000,18000,150-500人,合资,15000,二级
人力资源经理,8千-1.1万,深圳·南山区,5-7年,本科,"人力资源管理
周末双休
带薪年假
五险一金
节日福利",深圳前海榕达创途化工科技股份有限公司,民营  |  少于50人,石油/化工/矿产/地质,一线,8000-11000,8000,11000,少于50人,民营,9500,三级
人力资源经理,1.5-2万,广州·海珠区,5-7年,大专,"培训
招聘
人力资源
企业文化建设
人力资源规划
员工发展
工龄奖
房补",广州市展业纺织品有限公司,民营  |  500-1000人,服装/纺织/皮革,一线,15000-20000,15000,20000,500-1000人,民营,17500,二级
人力资源专员,5-6千,岳阳,3-4年,大专,"人事专员
招聘专员
人事主管
绩效
培训
餐饮补贴
员工旅游
绩效奖金",湖南乾明礼品有限公司岳阳分公司,民营  |  150-500人,贸易/进出口,三线,5000-6000,5000,6000,150-500人,民营,5500,四级
人力资源总监,1.5-2万,苏州·工业园区,8-9年,本科,"酒店集团
总部
人力资源部
HRD
提供食宿
带薪年假
职业发展
学习型团队
行业标杆酒店
优秀管理企业",江苏荣锦酒店管理有限公司,民营  |  150-500人,酒店/旅游,新一线,15000-20000,15000,20000,150-500人,民营,17500,二级
人力资源副总监,1-1.5万,杭州·滨江区,5-7年,本科,"周末双休
五险一金
绩效奖金
节日福利
做五休二
带薪年假
通讯补贴
专业培训
年终奖金
员工旅游",杭州瑞亚教育科技有限公司,民营  |  50-150人,教育/培训/院校,新一线,10000-15000,10000,15000,50-150人,民营,12500,二级
人力资源主管,7-9千,孝感,5-7年,大专,"人力资源主管
人资主管
包吃
包住宿
五险一金",湖北业欣纤维制品实业有限公司,民营  |  500-1000人,原材料和加工,四线,7000-9000,7000,9000,500-1000人,民营,8000,四级
人力资源专员,3.5-5.5千·14薪,清远·英德市,2年,本科,"五险一金
免费班车
绩效奖金
年终奖金
定期体检
员工旅游
专业培训
包吃包住",台一铜业（广州）有限公司,国企  |  500-1000人,原材料和加工,三线,3500-5500,3500,5500,500-1000人,国企,4500,五级
人力资源管理岗（薪酬绩效方向）,1-1.2万,成都·成华区,5-7年,本科,"人事专员
绩效薪酬管理
定岗定编
员工薪酬
报表填报
数据统计
五险一金
定期体检
节日福利
绩效奖金
带薪年假
高温补贴",四川二滩实业发展有限责任公司,国企  |  1000-5000人,电气/电力/水利,新一线,10000-12000,10000,12000,1000-5000人,国企,11000,三级
人力资源主管,1-1.5万,深圳·龙华区,5-7年,大专,"招聘
人事主管
绩效奖金
员工旅游
交通补贴
年终奖金
出国机会
专业培训
通讯补贴
弹性工作
定期体检",深圳市赛其创新科技有限公司,民营  |  150-500人,电子技术/半导体/集成电路,一线,10000-15000,10000,15000,150-500人,民营,12500,二级
人力资源主管,5-6.5千,武汉·黄陂区,2年,大专,"人事
五险
免费班车
通讯补贴
员工旅游
工作餐",武汉金马凯旋置业有限责任公司,民营  |  500-1000人,房地产,新一线,5000-6500,5000,6500,500-1000人,民营,5750,四级
人力资源总监,8千-1.2万,贵阳,10年以上,硕士,"五险一金
节日福利",贵州北极熊实业有限公司,民营  |  150-500人,快速消费品(食品、饮料、化妆品),二线,8000-12000,8000,12000,150-500人,民营,10000,三级
人力资源助理（劳务）,8千-1万,深圳·南山区,无需经验,本科,"人力资源
人事管理
人事专员
招聘专员
员工关系专员
人事助理
周末双休
团建活动
专业培训
地铁周边
免费停车",香港理工大学深圳研究院,外资（非欧美）  |  50-150人,学术/科研,一线,8000-10000,8000,10000,50-150人,外资（非欧美）,9000,三级
人力资源,6千-1.2万,上海·浦东新区,2年,本科,"五险一金
补充公积金
通讯补贴
交通补贴
餐饮补贴
定期体检
绩效奖金
周末双休
带薪年假
节日福利",物翌实业（上海）有限公司,已上市  |  500-1000人,新能源,一线,6000-12000,6000,12000,500-1000人,已上市,9000,三级
人力资源主管,1-1.6万,杭州·拱墅区,3-4年,本科,"五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
定期体检
专业培训",绿城长裕建设管理有限公司,民营  |  50-150人,房地产,新一线,10000-16000,10000,16000,50-150人,民营,13000,二级
人力资源主管,8千-1.2万,武汉,5-7年,本科,"人事
人事主管
五险一金
定期体检
员工旅游
补充医疗保险
交通补贴
绩效奖金
年终奖金
专业培训
出国机会
餐饮补贴",武汉南华工业设备工程股份有限公司,已上市  |  150-500人,机械/设备/重工,新一线,8000-12000,8000,12000,150-500人,已上市,10000,三级
人力资源主管,9千-1.4万·13薪,广州·天河区,5-7年,大专,"员工关系
招聘
薪酬绩效
带薪年假
专业培训
节日福利
五险一金
绩效奖金
餐饮补贴",广州佳越物业管理有限公司,民营  |  500-1000人,物业管理/商业中心,一线,9000-14000,9000,14000,500-1000人,民营,11500,三级
人力资源专员（招聘方向）,1-1.2万·13薪,北京·昌平区,2年,本科,"年终奖金
员工旅游
定期体检
专业培训
通讯补贴
餐饮补贴
一年加薪一次
免费班车",北京万维盈创科技发展有限公司,民营  |  500-1000人,仪器仪表/工业自动化,一线,10000-12000,10000,12000,500-1000人,民营,11000,三级
人力资源部-HRBP岗,1-2万,武汉·江汉区,3-4年,本科,"人才发展
hrbp
餐饮补贴
五险一金
交通补贴
专业培训
绩效奖金",武汉众邦银行股份有限公司,民营  |  500-1000人,银行,新一线,10000-20000,10000,20000,500-1000人,民营,15000,二级
人力资源高级经理,1-1.5万,南京·溧水区,5-7年,大专,"五险一金
免费班车
交通补贴
餐饮补贴
通讯补贴
年终奖金",南京金万辰生物科技有限公司,已上市  |  500-1000人,农/林/牧/渔,新一线,10000-15000,10000,15000,500-1000人,已上市,12500,二级
人力资源专员（招聘方向）（西安）,5-7千·13薪,西安·雁塔区,2年,本科,"年终奖金
员工旅游
定期体检
专业培训
通讯补贴
餐饮补贴
一年加薪一次
免费班车",北京万维盈创科技发展有限公司,民营  |  500-1000人,仪器仪表/工业自动化,新一线,5000-7000,5000,7000,500-1000人,民营,6000,四级
人力资源总监兼董事长助理,1.5-2万,深圳·罗湖区,8-9年,本科,"人事总监
董事长助理
人事",华夏香都文化产业（广东）股份有限公司,民营  |  少于50人,互联网/电子商务,一线,15000-20000,15000,20000,少于50人,民营,17500,二级
人力资源及行政管理部/部门经理,1.5-2万·13薪,广州·黄埔区,5-7年,大专,"人力资源
行政管理
人力招聘
行政事务
公文撰写",广州市智远物业管理有限公司,民营  |  150-500人,房地产,一线,15000-20000,15000,20000,150-500人,民营,17500,二级
人力资源管理,1-2万,北京·西城区,2年,本科,"人力招聘
薪酬管理
员工绩效管理
kpi指标库
个人发展规划
培训计划
人员培训管理
督导
培训
招聘渠道
五险一金
专业培训
年终奖金
补充公积金
餐饮补贴
绩效奖金
股票期权",瑞芯科技（河北雄安）有限公司,民营  |  50-150人,互联网/电子商务,一线,10000-20000,10000,20000,50-150人,民营,15000,二级
